chinese_pharmaceutical_name,pinyin,property,meridian,taste
艾叶,Ai Ye,Warm,"Liver meridian,Spleen meridian,Kidney meridian","Bitter,Pungent"
安息香,An Xi Xiang,Warm,"Liver meridian,Spleen meridian,Heart meridian","Bitter,Pungent"
八角茴香,Ba Jiao Hui Xiang,Warm,"Spleen meridian,Kidney meridian","Sweet,Pungent"
巴豆,Ba Dou,Hot,"Large intestine meridian,Stomach meridian",Pungent
巴豆霜,Ba Dou Shuang,Hot,"Large intestine meridian,Stomach meridian",Pungent
巴戟天,Ba Ji Tian,Warm,"Liver meridian,Kidney meridian","Sweet,Pungent"
菝葜,Ba Qia,Even,"Liver meridian,Kidney meridian","Sweet,Astringent,Mildly bitter"
白扁豆,Bai Bian Dou,Mildly warm,"Spleen meridian,Stomach meridian",Sweet
白附子,Bai Fu Zi,Warm,"Liver meridian,Stomach meridian",Pungent
白果,Bai Guo,Even,"Lung meridian,Kidney meridian","Sweet,Bitter,Astringent"
白及,Bai Ji,Cool,Lung meridian,"Sweet,Bitter"
白蔹,Bai Lian,Cool,"Liver meridian,Spleen meridian,Heart meridian","Sweet,Bitter,Pungent"
白茅根,Bai Mao Gen,Cold,"Lung meridian,Stomach meridian,Small intestine meridianOthers meridian",Sweet
白前,Bai Qian,Mildly warm,Lung meridian,"Bitter,Pungent"
白屈菜,Bai Qu Cai,Cool,"Lung meridian,Stomach meridian",Bitter
白芍,Bai Shao,Mildly cold,"Liver meridian,Spleen meridian","Bitter,Sour"
白术,Bai Zhu,Warm,"Spleen meridian,Stomach meridian","Sweet,Bitter"
白头翁,Bai Tou Weng,Cold,"Large intestine meridian,Liver meridian,Stomach meridian",Bitter
白薇,Bai Wei,Cold,"Liver meridian,Kidney meridian,Stomach meridian","Bitter,Salty"
白鲜皮,Bai Xian Pi,Cold,"Bladder meridian,Spleen meridian,Stomach meridian",Bitter
白芷,Bai Zhi,Warm,"Large intestine meridian,Lung meridian,Stomach meridian",Pungent
百部,Bai Bu,Mildly warm,Lung meridian,"Sweet,Bitter"
百合,Bai He,Cold,"Lung meridian,Heart meridian",Sweet
柏子仁,Bai Zi Ren,Even,"Liver meridian,Spleen meridian,Heart meridian",Sweet
板蓝根,Ban Lan Gen,Cold,"Stomach meridian,Heart meridian",Bitter
半边莲,Ban Bian Lian,Even,"Lung meridian,Small intestine meridian,Heart meridianOthers meridian",Pungent
半夏,Ban Xia,Warm,"Spleen meridian,Stomach meridian",Pungent
半枝莲,Ban Zhi Lian,Cold,"Lung meridian,Liver meridian,Kidney meridian","Bitter,Pungent"
薄荷,Bo He,Cool,"Liver meridian,Lung meridian",Pungent
北豆根,Bei Dou Gen,Cold,"Large intestine meridian,Lung meridian,Stomach meridian",Bitter
北刘寄奴,Bei Liu Ji Nu,Warm,"Spleen meridian,Heart meridian",Bitter
北沙参,Bei Sha Shen,Cool,"Lung meridian,Spleen meridian","Bland,Sweet,Bitter"
荜茇,Bi Bo,Hot,"Spleen meridian,Stomach meridian",Pungent
荜澄茄,Bi Cheng Qie,Warm,"Spleen meridian,Kidney meridian",Pungent
蓖麻子,Bi Ma Zi,Even,"Large intestine meridian,Lung meridian","Sweet,Pungent"
萹蓄,Bian Xu,Mildly cold,Bladder meridian,Bitter
槟榔,Bin Lang,Warm,"Large intestine meridian,Spleen meridian,Stomach meridian","Bitter,Pungent"
冰片,Bing Pian,Cool,"Lung meridian,Heart meridian","Bitter,Pungent"
补骨脂,Bu Gu Zhi,Warm,Kidney meridian,Pungent
苍耳子,Cang Er Zi,Warm,"Lung meridian,Liver meridian",Sweet
苍术,Cang Zhu,Warm,"Spleen meridian,Stomach meridian","Bitter,Pungent"
草豆蔻,Cao Dou Kou,Warm,"Spleen meridian,Stomach meridian",Pungent
